OrgId,AddressId,Contenta,isSubOrg
560,214,Cukurova University Faculty of Medicine,0
561,215,Cukurova Univ,0
562,215,Cukurova University,0
563,215,Cukurova University Faculty of Medicine,0
564,216,Adana Sci & Technol Univ,0
565,216,Adana Alparslan Turkes Science & Technology University,0
566,217,Cukurova Univ,0
567,217,Cukurova University,0
568,218,Cukurova Univ,0
569,218,Cukurova University,0
570,219,Acibadem Hosp,0
571,219,Acibadem Hastaneleri,0
572,220,Cukurova Univ,0
573,220,Cukurova University,0
574,221,Adana Acibadem Hosp,0
575,221,Acibadem Hospitals Group,0
576,222,Cukurova Univ,0
577,222,Cukurova University,0
578,223,Cukurova Univ,0
579,223,Cukurova University,0
580,224,Orthopedia Hosp,0
581,225,Ceyhan State Hosp,0
582,225,Ceyhan State Hospital,0
583,225,Cukurova University,0
584,226,Univ Hlth Sci,0
585,226,University of Health Sciences Turkey,0
586,226,Adana Numune Training & Research Hospital,0
587,226,Cukurova University,0
588,226,SBU Adana City Training and Research Hospital,0
589,227,Pamukkale Univ,0
590,227,Pamukkale University,0
591,227,Pamukkale University School of Medicine,0
592,228,Adiyaman Univ,0
593,228,Adiyaman University,0
594,228,Adiyaman University Faculty of Medicine,0
595,228,Adiyaman University Training and Research Hospital,0
596,229,Cukurova Univ,0
597,229,Cukurova University,0
598,229,Cukurova University Faculty of Medicine,0
599,230,Gaziantep Childrens Hosp,0
600,230,Cengiz Gokcek Obstetrics & Gynecology Hospital,0
601,230,Gaziantep Children's Hospital,0
602,231,Ankara Childrens Hematol & Oncol Training Hosp,0
603,231,Ankara Children's Hematology Oncology Training & Research Hospital,0
604,232,Cukurova Univ,0
605,232,Cukurova University,0
606,232,Cukurova University Faculty of Medicine,0
607,233,Univ Mississippi,0
608,233,University of Mississippi,0
609,233,University of Mississippi Medical Center,0
610,233,University Mississippi Hospital,0
611,233,University of Mississippi Department of Pediatrics,0
612,233,University Mississippi Hospital,0
613,234,Univ Mississippi,0
614,234,University of Mississippi Medical Center,0
615,234,University of Mississippi,0
616,234,University Mississippi Hospital,0
617,235,Ondokuz Mayis Univ,0
618,235,Ondokuz Mayis University,0
619,235,Ondokuz Mayis University Faculty of Medicine,0
620,236,Ege Univ,0
621,236,Ege University,0
622,237,Istanbul Univ,0
623,237,Istanbul University,0
624,238,Samsun Medicalpk Hosp,0
625,238,Medical Park Hospitals Group,0
